flybase_gene_id	control_rep1	control_rep2	msl2_rep1	msl2_rep2	mof_rep1	mof_rep2
FBgn0025836	8	5	4	6	12	17
FBgn0284435	1	1	0	2	0	1
FBgn0025835	1	0	0	1	3	0
FBgn0040373	18	20	47	36	33	34
FBgn0040372	206	200	178	200	145	222
FBgn0259722	21	19	9	9	10	16
FBgn0000316	119	114	70	88	80	118
FBgn0261446	28	16	9	10	14	11
FBgn0029518	0	0	0	0	0	1
FBgn0005427	102	94	93	102	78	96
FBgn0024989	0	3	0	1	0	2
FBgn0040370	3	2	5	4	2	3
FBgn0040371	0	1	0	0	0	0
FBgn0029521	8	11	6	15	5	15
FBgn0052816	1	1	1	0	2	1
FBgn0262810	0	0	1	0	0	0
FBgn0004034	22	17	15	40	12	16
FBgn0010019	0	0	0	0	1	0
FBgn0266572	138	121	108	123	107	110
FBgn0029523	14	16	11	22	9	12
FBgn0029522	24	19	6	7	11	12
FBgn0052817	2	17	0	7	13	9
FBgn0029526	20	16	13	5	13	13
FBgn0029524	35	11	14	15	4	7
FBgn0029525	102	66	62	105	73	72
FBgn0023536	27	26	19	23	15	16
FBgn0023537	437	357	339	356	315	285
FBgn0023534	0	3	1	0	0	1
FBgn0004648	314	339	270	296	258	236
FBgn0260400	82	59	47	66	42	55
FBgn0023535	6	6	5	3	4	4
FBgn0024983	60	46	33	55	26	33
FBgn0000108	1	2	4	7	0	2
FBgn0261930	1	0	0	0	0	1
FBgn0025633	192	199	160	169	137	163
FBgn0029529	14	14	12	9	13	8
FBgn0016038	60	61	38	61	43	55
FBgn0025640	51	44	52	64	44	43
FBgn0026879	74	70	49	56	57	58
FBgn0025635	22	22	20	26	22	18
FBgn0002579	2605	2181	1831	2298	1790	1894
FBgn0001341	109	100	96	95	94	105
FBgn0020381	77	57	52	71	42	61
FBgn0003575	158	148	137	171	144	151
FBgn0266102	5	0	0	0	0	0
FBgn0025634	65	35	37	59	30	29
FBgn0025638	135	116	117	123	136	105
FBgn0025639	198	143	178	207	198	199
FBgn0025637	327	292	260	277	254	275
FBgn0021764	98	83	61	88	60	66
FBgn0029531	0	0	0	0	2	0
FBgn0040383	58	63	30	47	44	40
FBgn0029532	1	0	1	0	0	0
FBgn0040382	96	84	125	145	90	69
FBgn0015288	1794	1442	1784	1853	1681	1560
FBgn0027343	0	0	0	2	0	2
FBgn0086368	0	1	0	0	0	0
FBgn0025620	0	0	1	0	1	1
FBgn0025621	86	53	60	78	42	42
FBgn0015799	252	201	187	197	199	203
FBgn0025616	2	3	1	0	3	1
FBgn0026874	15	9	9	6	5	9
FBgn0260855	141	129	101	150	114	144
FBgn0264449	37	52	50	58	42	51
FBgn0040892	0	1	0	0	0	0
FBgn0040341	0	0	0	0	1	0
FBgn0040344	134	122	104	116	110	88
FBgn0040339	26	27	27	30	14	24
FBgn0040345	1	0	0	2	0	0
FBgn0040342	2	4	2	3	0	2
FBgn0052815	2	2	0	5	2	3
FBgn0040340	216	136	156	164	145	140
FBgn0040346	73	57	51	57	61	53
FBgn0040347	25	15	19	21	17	12
FBgn0040348	43	28	23	21	17	10
FBgn0003638	401	319	287	332	258	399
FBgn0040351	3	0	1	1	3	2
FBgn0052814	1	0	0	0	0	0
FBgn0040337	24	27	19	28	18	15
FBgn0026143	68	54	53	65	44	41
FBgn0053082	8	4	4	9	2	10
FBgn0014903	14	8	13	12	11	15
FBgn0266569	33	22	19	26	17	16
FBgn0040398	716	505	542	544	576	529
FBgn0040397	23	15	12	14	10	16
FBgn0040365	0	1	0	0	0	0
FBgn0040364	2	2	2	2	0	2
FBgn0040360	0	0	0	1	0	0
FBgn0040359	1	0	0	1	0	1
FBgn0040358	1	0	1	0	1	1
FBgn0029568	1	2	2	1	0	2
FBgn0040357	0	1	0	0	0	0
FBgn0040367	2	2	3	0	0	1
FBgn0040366	12	14	14	9	10	7
FBgn0261444	261	214	213	197	184	203
FBgn0026876	57	43	53	59	64	48
FBgn0028550	55	74	48	49	48	72
FBgn0025642	23	27	11	19	14	14
FBgn0025641	305	214	184	164	184	136
FBgn0052811	0	0	0	0	0	1
FBgn0004650	1	1	2	6	2	11
FBgn0024366	3	4	2	3	0	3
FBgn0024362	106	91	72	58	77	52
FBgn0024360	34	42	44	45	42	32
FBgn0024361	8	2	6	11	8	0
FBgn0024365	246	213	173	194	164	180
FBgn0024364	101	71	80	70	75	66
FBgn0000826	39	29	33	43	25	28
FBgn0029573	2	1	1	3	2	1
FBgn0024987	230	163	158	159	169	145
FBgn0023169	168	113	81	95	97	86
FBgn0024986	82	72	65	62	61	53
FBgn0052813	34	20	21	34	18	19
FBgn0024985	133	113	132	142	104	87
FBgn0259108	41	46	41	45	34	54
FBgn0265139	0	0	0	1	1	0
FBgn0027795	13	12	12	7	5	9
FBgn0027794	150	102	108	101	83	91
FBgn0027793	2	4	4	3	3	3
FBgn0266284	238	142	162	153	160	122
FBgn0027791	128	104	110	88	56	55
FBgn0026872	54	52	54	36	29	45
FBgn0029580	6	6	2	4	0	4
FBgn0052808	8	11	9	13	5	9
FBgn0013720	65	58	55	77	36	56
FBgn0025383	25	20	15	22	5	7
FBgn0025382	53	34	37	34	16	15
FBgn0260986	158	102	98	82	87	70
FBgn0025381	1623	1210	1090	1148	1044	1141
FBgn0003517	11614	7556	10083	9513	8257	7957
FBgn0025394	434	340	311	317	255	299
FBgn0053513	8	10	6	6	3	6
FBgn0025390	25	21	10	25	17	33
FBgn0283451	477	342	453	480	434	422
FBgn0000482	278	166	170	191	152	140
FBgn0023530	106	114	73	93	57	81
FBgn0001189	224	193	178	235	140	184
FBgn0023531	118	119	156	177	129	179
FBgn0029587	3	2	1	7	3	7
FBgn0024897	5	0	2	3	5	2
FBgn0029588	10	12	20	30	7	28
FBgn0023130	73	54	59	65	61	54
FBgn0025391	43	45	41	63	40	81
FBgn0283741	269	242	174	336	171	224
FBgn0026086	230	241	191	217	196	236
FBgn0052806	0	0	0	0	0	1
FBgn0029589	1	0	1	1	0	0
FBgn0029590	0	0	2	1	0	3
FBgn0026090	93	88	69	93	62	84
FBgn0028969	752	610	505	551	458	513
FBgn0023515	190	145	109	116	125	132
FBgn0026873	117	89	74	79	52	67
FBgn0023516	110	93	79	105	72	70
FBgn0023513	190	156	119	126	115	122
FBgn0023517	135	97	108	88	90	58
FBgn0014411	385	331	247	277	243	238
FBgn0026089	133	118	91	95	72	63
FBgn0023514	201	167	144	135	159	158
FBgn0026088	155	118	76	105	77	77
FBgn0029594	73	69	85	68	104	91
FBgn0023518	512	416	436	419	352	392
FBgn0023519	164	121	125	106	99	79
FBgn0000117	2283	1726	1259	1313	1222	1233
FBgn0052803	75	64	55	63	48	49
FBgn0052801	28	12	13	14	7	14
FBgn0023511	385	313	261	309	205	205
FBgn0023509	307	227	235	215	237	209
FBgn0023510	431	384	259	286	231	272
FBgn0023512	258	171	163	191	140	182
FBgn0023508	478	363	273	288	254	319
FBgn0023522	231	198	145	152	142	166
FBgn0023520	65	40	55	62	32	42
FBgn0023521	36	22	28	29	18	20
FBgn0264562	87	130	151	131	127	159
FBgn0023545	174	141	161	160	120	108
FBgn0261954	860	758	715	834	645	818
FBgn0000667	408	294	247	243	204	234
FBgn0003964	321	233	244	208	214	192
FBgn0025632	26	25	20	29	15	33
FBgn0026878	5	1	2	4	3	0
FBgn0025631	309	298	169	186	173	163
FBgn0025625	30	30	27	31	11	13
FBgn0025626	316	252	245	270	207	217
FBgn0029596	9	12	12	7	9	7
FBgn0025628	904	755	633	721	579	550
FBgn0025627	8	8	6	7	8	11
FBgn0025630	130	111	99	117	83	111
FBgn0025629	208	111	156	138	128	129
FBgn0025624	211	153	139	158	134	132
FBgn0040394	248	208	220	212	190	158
FBgn0040395	365	356	336	372	278	315
FBgn0000382	131	106	106	108	92	121
FBgn0004860	170	133	160	172	154	179
