flybase_gene_id	control_rep1	control_rep2	msl2_rep1	msl2_rep2	mof_rep1	mof_rep2
FBgn0025836	0.64610902437633	0.48798903665395	0.453527	0.56589	1.2373872001429	1.36341003566799
FBgn0284435	0.143756	0.17372	0.0	0.185207	0.0	0.142753
FBgn0025835	0.1082837	0.0	0.0	0.09524010000000001	0.374851	0.0
FBgn0040373	4.7691102010829995	6.56517	12.6093	8.03401	9.66204	8.631826
FBgn0040372	12.6322	14.40254	11.06428	10.53245	10.017330000000001	13.188830000000001
FBgn0259722	18.1401	23.0026	8.22017	7.04931	9.96784	13.928040000000001
FBgn0000316	24.517400000000002	28.11015	15.28819	16.03481	19.3446	23.93062
FBgn0261446	8.6595	6.20116	3.05204	2.5388	4.81121	3.50334
FBgn0029518	0.0	0.0	0.0	0.0	0.0	0.606925
FBgn0005427	11.06608150137312	11.827724	10.76841446866	9.734067	9.149705017519999	10.406614
FBgn0024989	0.0	0.44694379598804995	0.0	0.10843387590999999	0.0	0.2448490237
FBgn0040370	0.300631	0.726586	0.953616	0.5288349999999999	0.607795	0.2985341
FBgn0040371	0.0	0.548759	0.0	0.0	0.0	0.0
FBgn0029521	3.14431	5.22459	2.49348	5.18541	2.26771	5.85446
FBgn0052816	0.276863	0.334571	0.292741	0.0	0.638964	0.274932
FBgn0262810	0.0	0.0	1.11384	0.0	0.0	0.0
FBgn0004034	4.65021	4.34233	3.35243	7.43647	2.92694	3.35838
FBgn0010019	0.0	0.0	0.0	0.0	0.21565	0.0
FBgn0266572	13.604506421279998	14.4146803	11.25747031547	10.665100985252002	12.1720644	10.7686
FBgn0029523	2.62156	3.51933	2.19644	3.60802	1.95653	2.12514
FBgn0029522	15.0838	14.2023	4.199	3.96474	8.13863	7.32031
FBgn0052817	1.25382	17.9358	0.0	3.9845885	11.89919	7.6731300000000005
FBgn0029526	5.569514	5.165380000000001	3.5708151725899997	1.1907	4.23669	3.7100112000000003
FBgn0029524	37.617	11.542394999999999	18.07405	14.659829	5.3749199999999995	8.71225
FBgn0029525	9.53787	7.43095	6.17727	8.65325	7.95521	6.70377
FBgn0023536	4.89064	5.69114	3.63894	3.66426	3.13527	2.87794
FBgn0023537	95.45240000000001	94.369	79.05276	68.93001	80.50985	61.391000000000005
FBgn0023534	0.0	1.23075	0.446748	0.0	0.0	0.337122
FBgn0004648	29.129457000000002	37.323243899999994	26.886715937524322	24.57017502222774	26.8527801745299	20.627091918577
FBgn0260400	10.271195	8.85041	6.112371032693099	6.671784000000001	5.303979	6.949931
FBgn0023535	2.31089	2.7078	1.97328	1.08031	1.57233	1.64684
FBgn0024983	14.464585043	13.348434924	8.620597085	11.84859	7.283260525999999	8.096172656
FBgn0000108	0.0634494	0.185961	0.325422	0.473722	0.0	0.152812
FBgn0261930	0.137161	0.0	0.0	0.0	0.0	0.136205
FBgn0025633	18.75864	22.844087288099	15.9474340976	15.00503	15.94711231	15.454713766307
FBgn0029529	18.1401	21.9211	16.4403	10.2568	19.4373	10.2934
FBgn0016038	23.2373	25.069395996	13.895240169565099	19.7537275176346	17.942128115	18.77
FBgn0025640	20.312	21.1767	21.898	22.4191	20.2216	17.0063
FBgn0026879	153.005	174.902	107.125	101.84	135.997	119.086
FBgn0025635	4.28015	5.17108	4.1142	4.32143	4.93902	3.47752
FBgn0002579	2862.3251	2876.2556	2138.1275	2182.3444	2267.9784	2004.332
FBgn0001341	12.1718	13.4943	11.3349	9.33057	12.1126	11.6433
FBgn0020381	20.48135553	18.041303770000003	14.63175512229	16.56308	13.00612668376	16.20674
FBgn0003575	13.253649999999999	14.8581419	12.354298	12.80752	14.2357717	12.98798364575
FBgn0266102	9.56207	0.0	0.0	0.0	0.0	0.0
FBgn0025634	18.7818	12.1694	11.2563	14.9309	9.96046	8.28581
FBgn0025638	95.4191	94.99437999999999	87.6597	77.73391	118.23002	68.66576
FBgn0025639	13.97806	11.76717	13.28512	12.01797	15.13297	13.95854
FBgn0025637	170.78117	180.79914	136.919790339342	119.993910556752	149.76360259999998	139.511996
FBgn0021764	4.34086204133079	4.4918550216007995	2.8758509394702	3.44106629263183	3.0937690435371	2.946199
FBgn0029531	0.0	0.0	0.0	0.0	0.603299	0.0
FBgn0040383	21.7411	28.5376	11.8903	15.4956	19.0321	14.8893
FBgn0029532	0.284565	0.0	0.300885	0.0	0.0	0.0
FBgn0040382	18.98662833324	20.23805	26.460970000000003	25.2201147638	20.27065726334	13.3572
FBgn0015288	773.98	751.789	813.806	703.136	836.867	668.332
FBgn0027343	0.0	0.0	0.0	0.324838	0.0	0.37659
FBgn0086368	0.0	0.190023	0.0	0.0	0.0	0.0
FBgn0025620	0.0	0.0	0.292741	0.0	0.319482	0.274932
FBgn0025621	10.85148	8.27388	7.7858	8.635352	5.96282	5.3879
FBgn0015799	28.6422	27.6074	22.4733	19.6938	26.1	22.912
FBgn0025616	0.484985	0.87911	0.2564	0.0	0.839463	0.240801
FBgn0026874	4.74815	3.44271	3.01228	1.67048	1.82636	2.82902
FBgn0260855	35.498	39.2462	26.86632	33.17706	33.1185	36.00040000375531
FBgn0264449	2.18081	3.63255	3.0646740017983998	2.906234	2.7428225210000003	2.87744761089
FBgn0040892	0.0	1.48182	0.0	0.0	0.0	0.0
FBgn0040341	0.0	0.0	0.0	0.0	0.657702	0.0
FBgn0040344	13.5048	14.73645	10.86929	10.19382	12.7925	8.70687
FBgn0040339	25.0784	31.4713	27.5365	25.451	15.5825	22.9879
FBgn0040345	0.352736	0.0	0.0	0.620493	0.0	0.0
FBgn0040342	0.577586	1.39595	0.610711	0.762017	0.0	0.573558
