flybase_gene_id	gene_name	chromosome	start	end	gene_length
FBgn0025836	RhoGAP1A	X	127449	140340	6068
FBgn0284435	tyn	X	140318	200663	5691
FBgn0025835	CG17707	X	142731	148426	3791
FBgn0040373	CG3038	X	243954	245856	1838
FBgn0040372	G9a	X	245978	254650	7235
FBgn0259722	CG42376	X	254876	255524	649
FBgn0000316	cin	X	255674	258469	2110
FBgn0261446	CG13377	X	258335	263999	1605
FBgn0029518	CG13376	X	265724	267028	1196
FBgn0005427	ewg	X	268509	279718	6973
FBgn0024989	CG3777	X	279703	350504	4316
FBgn0040370	CG13375	X	283186	294962	4896
FBgn0040371	CG12470	X	307684	308935	1055
FBgn0029521	Or1a	X	315123	316566	1188
FBgn0052816	CG32816	X	316576	470726	2406
FBgn0262810	CG43181	X	350566	351133	568
FBgn0004034	y	X	356509	361245	2038
FBgn0010019	Cyp4g1	X	467057	469335	2279
FBgn0266572	ebo	X	471019	476579	4181
FBgn0029523	CR18275	X	476857	479309	2309
FBgn0029522	CG13373	X	476984	478191	1051
FBgn0052817	CG32817	X	479066	480166	885
FBgn0029526	CR18166	X	479864	481826	1861
FBgn0029524	CG3176	X	481862	482768	787
FBgn0029525	CG18273	X	482777	487581	4342
FBgn0023536	CG3156	X	487878	490725	2345
FBgn0023537	CG17896	X	490787	493495	2231
FBgn0023534	CG17778	X	494614	496369	1344
FBgn0004648	svr	X	496446	509072	8583
FBgn0260400	elav	X	509235	523226	10715
FBgn0023535	arg	X	509435	528028	1243
FBgn0024983	CG4293	X	527941	530291	2077
FBgn0000108	Appl	X	530501	579044	6383
FBgn0261930	vnd	X	582121	598151	4322
FBgn0025633	spdi	X	585081	620195	5538
FBgn0029529	CG13365	X	620717	621215	499
FBgn0016038	Vsp37A	X	621530	623051	1379
FBgn0025640	CG13369	X	623468	624765	1175
FBgn0026879	CG13364	X	624757	625203	387
FBgn0025635	Hinfp	X	625542	628016	2256
FBgn0002579	RpL36	X	628338	629483	686
FBgn0001341	Mybbp1A	X	629773	633633	3680
FBgn0020381	Dredd	X	633622	635545	1708
FBgn0003575	su(sable)	X	635890	643760	5047
FBgn0266102	CR44839	X	644226	644616	391
FBgn0025634	CG13367	X	644761	646386	1550
FBgn0025638	Roc1a	X	647304	648597	1229
FBgn0025639	Hmt4-20	X	648483	656033	6211
FBgn0025637	SkpA	X	656114	657899	1786
FBgn0021764	sdk	X	686834	749496	9565
FBgn0029531	CG13362	X	749241	751301	1686
FBgn0040383	CG5254	X	750347	758719	1683
FBgn0029532	CG13361	X	752011	753653	1565
FBgn0040382	CG5273	X	759594	761939	2193
FBgn0015288	RpL22	X	762560	765130	1100
FBgn0027343	fz3	X	769945	784222	3727
FBgn0086368	tw	X	784746	788215	2840
FBgn0025620	CG13360	X	787855	790089	1603
FBgn0025621	CG16989	X	793147	797061	3915
FBgn0015799	Rbf	X	797090	801479	3619
FBgn0025616	CG13359	X	801669	803470	1802
FBgn0026874	CG13358	X	803424	804921	1427
FBgn0260855	Sec22	X	806076	808200	1749
FBgn0264449	CG43867	X	808217	927975	10174
FBgn0040892	CG14634	X	862608	863200	516
FBgn0040341	CG11664	X	875732	876612	881
FBgn0040344	Lztr1	X	922889	927582	4335
FBgn0040339	MED22	X	928139	928860	602
FBgn0040345	CG3708	X	928798	930098	1301
FBgn0040342	CG3706	X	930931	932475	1545
FBgn0052815	CG32815	X	932466	939424	3540
FBgn0040340	TRAM	X	935232	937822	2503
FBgn0040346	CG3704	X	939170	940805	1515
FBgn0040347	mus81	X	941075	943229	2155
FBgn0040348	CG3703	X	942474	945773	2496
FBgn0003638	su(w[a])	X	1012779	1046040	5658
FBgn0040351	CG11638	X	1013984	1026703	2462
FBgn0052814	CG32814	X	1019795	1026700	1664
FBgn0040337	CG3021	X	1026791	1028290	1412
FBgn0026143	Cdc45	X	1028291	1030556	2214
FBgn0053082	Rpp21	X	1030758	1033119	2303
FBgn0014903	CG14630	X	1031496	1033165	1358
FBgn0266569	CG42259	X	1046224	1047009	711
FBgn0040398	CG14629	X	1051525	1052631	1107
FBgn0040397	CG3655	X	1073041	1134896	6593
FBgn0040365	CG14628	X	1145644	1146132	489
FBgn0040364	CG11378	X	1170828	1173797	2755
FBgn0040360	CG14626	X	1184778	1188585	1413
FBgn0040359	CG11380	X	1191308	1196660	2801
FBgn0040358	CG14625	X	1199546	1203157	2579
FBgn0029568	CG11381	X	1203777	1205433	1603
FBgn0040357	CG14624	X	1206737	1207555	819
FBgn0040367	CG11382	X	1209970	1211853	1884
FBgn0040366	CG11398	X	1211989	1215156	3018
FBgn0261444	CG3638	X	1215289	1236684	9056
FBgn0026876	CG11403	X	1236873	1239884	2890
FBgn0028550	Atf3	X	1242740	1275284	7025
FBgn0025642	CG32812	X	1287290	1288945	1625
FBgn0025641	DAAM	X	1289713	1322362	6227
FBgn0052811	CG32811	X	1297984	1298387	404
FBgn0004650	fs(1)N	X	1322513	1329438	6581
FBgn0024366	CG11409	X	1329518	1341587	4720
FBgn0024362	Naa30A	X	1342106	1344770	2347
FBgn0024360	MTPAP	X	1344872	1349357	2444
FBgn0024361	Tsp2A	X	1346553	1348143	1037
FBgn0024365	CG12773	X	1349623	1353981	3887
FBgn0024364	CG11417	X	1354014	1356473	2460
FBgn0000826	png	X	1356488	1357601	1114
FBgn0029573	CG14770	X	1369249	1370176	690
FBgn0024987	ssx	X	1370580	1375257	3676
FBgn0023169	AMPKalpha	X	1375536	1378896	2853
FBgn0024986	CG3719	X	1378885	1380480	831
FBgn0052813	CG32813	X	1380914	1392843	5252
FBgn0024985	Rilpl	X	1393054	1397337	3799
FBgn0259108	futsch	X	1409069	1453686	23308
FBgn0265139	Gr2a	X	1452430	1454177	1562
FBgn0027795	CG14785	X	1455215	1457054	1713
FBgn0027794	Lrpprc2	X	1457175	1460617	3382
FBgn0027793	CG14787	X	1460807	1461676	870
FBgn0266284	Ns3	X	1461844	1464220	2176
FBgn0027791	O-fut2	X	1464363	1465996	1634
FBgn0026872	CG14777	X	1466134	1468692	1705
FBgn0029580	CG14778	X	1467493	1470614	753
FBgn0052808	CG32808	X	1468693	1469817	1063
FBgn0013720	pck	X	1470666	1472325	1478
FBgn0025383	CG14780	X	1472522	1473727	1082
FBgn0025382	Rab27	X	1473884	1476974	1564
FBgn0260986	mei-38	X	1477063	1481420	1749
FBgn0025381	rush	X	1478552	1481420	2721
FBgn0003517	sta	X	1481797	1483413	1338
FBgn0025394	inc	X	1483479	1517615	4686
FBgn0053513	Nmdar2	X	1483625	1507809	8036
FBgn0025390	Mur2B	X	1523554	1668788	7661
FBgn0283451	br	X	1575132	1664869	20201
FBgn0000482	dor	X	1665052	1668451	3161
FBgn0023530	CG3740	X	1668406	1669297	829
FBgn0001189	hfw	X	1669570	1673608	3038
FBgn0023531	CG32809	X	1673110	1692768	7613
FBgn0029587	CG14797	X	1681566	1684891	3151
FBgn0024897	b6	X	1686624	1690187	2139
FBgn0029588	CR14798	X	1692824	1693843	898
FBgn0023130	a6	X	1693615	1695889	2218
FBgn0025391	Scgdelta	X	1735945	1754065	3905
FBgn0283741	prage	X	1773719	1853667	6747
FBgn0026086	Adar	X	1773725	1788065	8963
FBgn0052806	CG32806	X	1789566	1790418	803
FBgn0029589	CG14810	X	1819495	1820341	720
FBgn0029590	CG14811	X	1821469	1822381	849
FBgn0026090	Lamtor5	X	1857889	1858971	802
FBgn0028969	deltaCOP	X	1859141	1861790	2170
FBgn0023515	Gcna	X	1862009	1865835	3577
FBgn0026873	MED18	X	1865909	1866887	865
FBgn0023516	Pex5	X	1866832	1869061	2230
FBgn0023513	CG14803	X	1868870	1872408	3419
FBgn0023517	Pgam5	X	1872400	1873565	1100
FBgn0014411	Vps26	X	1873853	1876474	2543
FBgn0026089	CG14817	X	1876294	1877270	920
FBgn0023514	CG14805	X	1877317	1879077	1704
FBgn0026088	CG14818	X	1879019	1879774	620
FBgn0029594	Coa8	X	1880282	1881432	1019
FBgn0023518	trr	X	1881313	1889950	8314
FBgn0023519	mRpL16	X	1890256	1891482	1076
FBgn0000117	arm	X	1891401	1900646	3564
FBgn0052803	Ldaf1	X	1900699	1901911	905
FBgn0052801	CG32801	X	1902082	1903177	937
FBgn0023511	Edem1	X	1903704	1908827	4752
FBgn0023509	mip130	X	1908239	1920318	3459
FBgn0023510	Rbcn-3B	X	1908920	1916825	6716
FBgn0023512	eIF2Bepsilon	X	1920166	1922874	2447
FBgn0023508	Ocrl	X	1922981	1927524	3688
FBgn0023522	CG11596	X	1927683	1930517	1892
FBgn0023520	CG3857	X	1937700	1940040	2341
FBgn0023521	CG3587	X	1940307	1941536	1105
FBgn0264562	Hr4	X	1941940	2007956	13899
FBgn0023545	PIG-K	X	2007911	2009364	1203
FBgn0261954	east	X	2010860	2024647	10285
FBgn0000667	Actn	X	2023822	2042311	5272
FBgn0003964	usp	X	2038798	2042311	3038
FBgn0025632	CG4313	X	2041868	2055414	2713
FBgn0026878	CG4325	X	2042730	2043818	897
FBgn0025631	moody	X	2044292	2050120	3939
FBgn0025625	Sik2	X	2055310	2061915	5230
FBgn0025626	CG4281	X	2062313	2065142	2664
FBgn0029596	CG14054	X	2065273	2066359	920
FBgn0025628	CG4199	X	2066435	2073483	3313
FBgn0025627	CG4194	X	2068592	2069688	1097
FBgn0025630	Rtca	X	2072413	2074890	2070
FBgn0025629	CG4045	X	2074795	2075900	923
FBgn0025624	CG4025	X	2076966	2078455	1240
FBgn0040394	CG16903	X	2078343	2080405	1936
FBgn0040395	Unc-76	X	2080610	2093948	4096
FBgn0000382	csw	X	2094234	2115701	8732
FBgn0004860	ph-d	X	2115727	2123286	6126
FBgn0004861	ph-p	X	2126210	2138371	6887
FBgn0023507	D2hgdh	X	2141489	2144937	2209
FBgn0004654	Pgd	X	2145136	2148566	1895
FBgn0013432	bcn92	X	2148463	2149647	748
FBgn0004655	wapl	X	2149936	2158983	7054
FBgn0005670	Cyp4d1	X	2159145	2162180	2285
FBgn0023540	CG3630	X	2162196	2172281	2031
FBgn0025839	ND-B14.5A	X	2172526	2173432	807
FBgn0023541	Cyp4d14	X	2173415	2175315	1694
FBgn0011576	Cyp4d2	X	2176006	2178728	2467
FBgn0015036	Cyp4ae1	X	2179007	2180998	1822
FBgn0003116	pn	X	2181211	2182916	1638
FBgn0023542	Nmd3	X	2182818	2184668	1791
FBgn0040899	CG17776	X	2184725	2185258	534
FBgn0040900	CG17777	X	2186855	2187741	680
FBgn0024984	CG3457	X	2187820	2188919	1100
FBgn0023549	Mct1	X	2189188	2205373	3197
FBgn0029603	CG14053	X	2191639	2193909	1853
FBgn0023550	FarO	X	2201820	2203866	1681
FBgn0053548	SmydA-8	X	2205515	2213809	3114
FBgn0004397	Vinc	X	2214347	2222567	3933
FBgn0029606	CG14052	X	2223754	2224969	893
FBgn0003048	pcx	X	2225296	2238045	12119
FBgn0001330	kz	X	2237858	2242035	3927
FBgn0000810	fs(1)K10	X	2242138	2246041	3052
FBgn0023523	Or2a	X	2246231	2247567	1267
FBgn0000377	crn	X	2247594	2249983	2332
FBgn0023525	CG3191	X	2250145	2251993	1247
FBgn0029608	CG3091	X	2252332	2254197	1286
FBgn0023524	CG3078	X	2254403	2259863	3982
FBgn0027296	temp	X	2260207	2262515	2163
FBgn0023527	CG3071	X	2262837	2264825	1921
FBgn0023528	CG2924	X	2264657	2270761	3064
FBgn0023529	Grp170	X	2271008	2275068	3581
FBgn0085362	Vml	X	2275822	2277781	1960
FBgn0023526	CG2865	X	2278031	2293411	5574
FBgn0003079	Raf	X	2295466	2343870	4247
FBgn0040392	CG14050	X	2324748	2326217	1385
FBgn0040391	CG2854	X	2327128	2328941	1643
FBgn0044047	Ilp6	X	2331493	2334658	2413
FBgn0040389	mRpL14	X	2343997	2344649	653
FBgn0003159	CG2841	X	2344949	2366356	5650
FBgn0264598	PsGEF	X	2367121	2387664	14169
FBgn0001150	gt	X	2427113	2428967	1780
FBgn0003714	tko	X	2442313	2443976	1596
FBgn0040388	boi	X	2444167	2470043	5066
FBgn0004050	z	X	2447769	2450550	2599
FBgn0284408	trol	X	2470460	2545427	20674
FBgn0260753	Pdfr	X	2552206	2578640	4668
FBgn0040377	Vha36-3	X	2579091	2580560	1294
FBgn0040376	AANATL7	X	2580958	2583823	1212
FBgn0040375	CG13760	X	2583745	2585699	1524
FBgn0040066	wds	X	2585980	2588217	1973
FBgn0001404	egh	X	2588503	2599111	4662
FBgn0011606	Klp3A	X	2599158	2604052	4527
FBgn0004643	Zw10	X	2604197	2606824	2567
FBgn0011566	Smyd3	X	2606680	2608876	1762
FBgn0029629	eIF3g1	X	2609247	2610336	1027
FBgn0040334	Tsp3A	X	2617758	2619738	1798
FBgn0040336	Seipin	X	2619799	2622140	2045
FBgn0040333	brv3	X	2622069	2624575	2427
FBgn0267350	Pi4KIIIalpha	X	2624804	2633672	7054
FBgn0003371	sgg	X	2633952	2679553	12499
